code,date,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
sh.600675,2023-07-13,2.9,-129.41833400000002,1.181226,7.677835000000001,9.60905
sh.600675,2023-07-14,2.93,-130.757145,1.193445,7.757261,9.708454
sh.600675,2023-07-17,2.92,-130.310874,1.189372,7.730786,9.675319
sh.600675,2023-07-18,2.97,-132.542225,1.209738,7.863161999999999,9.840993
sh.600675,2023-07-19,3.02,-134.773576,1.230104,7.995539,10.006666
sh.600675,2023-07-20,3.03,-135.219846,1.234177,8.022014,10.039801
sh.600675,2023-07-21,3.12,-139.236277,1.270836,8.260292,10.338012
sh.600676,2023-07-05,4.31,111.87368700000002,0.806447,0.8277530000000001,26.204302
sh.600676,2023-07-06,4.32,112.133255,0.808319,0.829674,26.2651
sh.600676,2023-07-07,4.32,112.133255,0.808319,0.829674,26.2651
sh.600676,2023-07-10,4.47,116.02677,0.836385,0.858482,27.177083000000003
sh.600676,2023-07-11,4.42,114.728932,0.8270299999999999,0.848879,26.873089
sh.600676,2023-07-12,4.36,113.171525,0.815803,0.837356,26.508296
sh.600676,2023-07-13,4.31,111.87368700000002,0.806447,0.8277530000000001,26.204302
sh.600676,2023-07-14,4.34,112.65239,0.8120609999999999,0.833515,26.386698
sh.600676,2023-07-17,4.28,111.094984,0.800834,0.8219920000000001,26.021905
sh.600676,2023-07-18,4.32,112.133255,0.808319,0.829674,26.2651
sh.600676,2023-07-19,4.34,112.65239,0.8120609999999999,0.833515,26.386698
sh.600676,2023-07-20,4.26,110.575848,0.797092,0.8181510000000001,25.900307
sh.600676,2023-07-21,4.28,111.094984,0.800834,0.8219920000000001,26.021905
sh.600678,2023-07-05,5.39,305.464647,7.148901,5.319589,66.63295500000001
sh.600678,2023-07-06,5.4,306.0313720000001,7.162164,5.329458,66.756578
sh.600678,2023-07-07,5.66,320.766215,7.507009,5.586062,69.970784
sh.600678,2023-07-10,5.55,314.532243,7.361113,5.477499,68.610928
sh.600678,2023-07-11,5.54,313.9655180000001,7.34785,5.4676290000000005,68.487305
sh.600678,2023-07-12,5.46,309.4317200000001,7.2417440000000015,5.388675,67.49831800000001
sh.600678,2023-07-13,5.48,310.56517,7.2682699999999985,5.408413,67.745565
sh.600678,2023-07-14,5.47,309.998445,7.255007000000001,5.398544,67.621942
sh.600678,2023-07-17,5.47,309.998445,7.255007000000001,5.398544,67.621942
sh.600678,2023-07-18,5.52,312.832069,7.321323,5.447891,68.24005799999999
sh.600678,2023-07-19,5.52,312.832069,7.321323,5.447891,68.24005799999999
sh.600678,2023-07-20,5.47,309.998445,7.255007000000001,5.398544,67.621942
sh.600678,2023-07-21,5.49,311.131894,7.281534,5.418283,67.869188
sh.600679,2023-07-05,9.38,-15.233757,2.270992,3.123298,-41.251901
sh.600679,2023-07-06,9.35,-15.185035,2.263729,3.113309,-41.119966
sh.600679,2023-07-07,9.39,-15.249997,2.273413,3.126628,-41.29588
sh.600679,2023-07-10,9.31,-15.120072,2.254045,3.09999,-40.944051
sh.600679,2023-07-11,9.47,-15.379923000000002,2.292782,3.153266,-41.647709000000006
sh.600679,2023-07-12,9.26,-15.038868,2.241939,3.083342,-40.724159
sh.600679,2023-07-13,8.66,-14.064428,2.096673,2.883557,-38.085444
