code,year,quarter,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600132,2019,4.0,2020-04-18,2019-12-31,0.5124770000000001,0.20339300000000002,0.416882,728536930.17,1.357369,3508757943.97,483971198.0,483971198.0
sh.600132,2020,4.0,2021-04-28,2020-12-31,1.074686,0.160151,0.506073,1752317095.65,2.225005,10625459201.54,483971198.0,483971198.0
sh.600132,2021,4.0,2022-04-02,2021-12-31,0.9968600000000001,0.182872,0.5093979999999999,2399156196.28,2.409737,12835328224.79,483971198.0,483971198.0
sh.600132,2022,4.0,2023-04-28,2022-12-31,0.663188,0.184265,0.504779,2586899641.43,2.610909,13696216606.6,483971198.0,483971198.0
sh.600150,2019,4.0,2020-04-18,2019-12-31,0.026532,0.022323,0.1057319999999999,516465949.32,0.29370300000000005,22841607800.0,1378117598.0,1378117598.0
sh.600150,2020,4.0,2021-04-28,2020-12-31,0.009995,0.004631000000000001,0.1071299999999999,255855389.65,0.068375,53955047600.0,4472428758.0,1378117598.0
sh.600150,2021,4.0,2022-04-29,2021-12-31,0.004657,0.0038810000000000003,0.1059869999999999,231872370.63,0.047807,58566929700.0,4472428758.0,2443307764.0
sh.600150,2022,4.0,2023-04-28,2022-12-31,0.0037359999999999,0.014649,0.075991,872452235.06,0.038429000000000005,58444404300.0,4472428758.0,2443307764.0
sh.600176,2019,4.0,2020-03-23,2019-12-31,0.14247100000000001,0.2014099999999999,0.354568,2113459262.37,0.607847,10339187239.1,3502306849.0,3502306849.0
sh.600176,2020,4.0,2021-03-20,2020-12-31,0.146063,0.20656,0.337843,2409764398.73,0.689863,11460634470.73,3502306849.0,3502306849.0
sh.600176,2021,4.0,2022-03-19,2021-12-31,0.301392,0.311471,0.4531229999999999,6138128995.81,1.505938,18789283695.54,4003136728.0,4003136728.0
sh.600176,2022,4.0,2023-03-21,2022-12-31,0.26353000000000004,0.3377679999999999,0.35598,6820295007.44,1.651209,17559592016.57,4003136728.0,4003136728.0
sh.600183,2019,4.0,2020-03-25,2019-12-31,0.190172,0.11807100000000001,0.266469,1563393933.92,0.636487,13043935908.03,2276191340.0,2276191340.0
sh.600183,2020,4.0,2021-03-30,2020-12-31,0.179513,0.12256800000000001,0.267773,1800202825.79,0.733585,14407270761.49,2290820090.0,2290820090.0
sh.600183,2021,4.0,2022-03-29,2021-12-31,0.24621500000000002,0.144252,0.26818200000000003,2924600543.54,1.224126,19697238339.79,2311595684.0,2311595684.0
sh.600183,2022,4.0,2023-03-29,2022-12-31,0.115121,0.0905789999999999,0.220336,1631733421.57,0.657714,17706247715.5,2327439904.0,2327439904.0
sh.600188,2019,4.0,2020-04-23,2019-12-31,0.139485,0.055369000000000015,0.139106,11109660000.0,1.764625,67804645000.0,4912016000.0,2959879500.0
sh.600188,2020,4.0,2021-03-27,2020-12-31,0.1213119999999999,0.031804,0.132195,6837681000.0,1.465357,82325000000.0,4860000000.0,2959957200.0
sh.600188,2021,4.0,2022-03-31,2021-12-31,0.265876,0.1221569999999999,0.2938,18566775000.0,3.335719,108616000000.0,4874184060.0,2974184060.0
sh.600188,2022,4.0,2023-03-25,2022-12-31,0.377772,0.196377,0.409401,39438346000.0,6.2185190000000015,154603000000.0,4948703640.0,2986963640.0
sh.600196,2019,4.0,2020-03-31,2019-12-31,0.11096900000000001,0.13096,0.596174,3743521280.96,1.296039,28585152033.18,2562898545.0,2010958045.0
sh.600196,2020,4.0,2021-03-30,2020-12-31,0.106348,0.130002,0.556829,3939979772.17,1.429168,30269000000.0,2562898545.0,2010958045.0
sh.600196,2021,4.0,2022-03-23,2021-12-31,0.124306,0.127866,0.4813939999999999,4987438072.29,1.847623,38960000000.0,2562898545.0,2010958045.0
sh.600196,2022,4.0,2023-03-28,2022-12-31,0.089068,0.089814,0.472836,3947464120.11,1.396177,43841000000.0,2672156611.0,2010958045.0
sh.600219,2019,4.0,2020-04-11,2019-12-31,0.041857,0.080723,0.215058,1736280868.26,0.135787,21065302703.97,11950481520.0,9787339527.0
sh.600219,2020,4.0,2021-04-16,2020-12-31,0.051433000000000006,0.099605,0.2371739999999999,2221098709.19,0.171495,21786518471.1,11950481520.0,11950481520.0
sh.600219,2021,4.0,2022-03-31,2021-12-31,0.08194,0.129486,0.246313,3719485259.14,0.28541300000000003,27963978521.53,11950481520.0,11950481520.0
sh.600219,2022,4.0,2023-04-29,2022-12-31,0.079926,0.11283900000000001,0.20906,3943844876.72,0.30025300000000005,34380266005.21,11708552848.0,11708552848.0
sh.600233,2019,4.0,2020-04-29,2019-12-31,0.136736,0.053956,0.12005299999999999,1680785199.36,0.5866140000000001,30692987972.84,2842930394.0,2835759286.0
sh.600233,2020,4.0,2021-04-28,2020-12-31,0.117693,0.05293200000000002,0.090369,1847701089.26,0.559129,34157911600.0,3159830675.0,3157644396.0
sh.600233,2021,4.0,2022-04-27,2021-12-31,0.105877,0.048444,0.08226699999999999,2187496010.7,0.612341,44108318600.0,3435027509.0,3165084490.0
sh.600233,2022,4.0,2023-04-26,2022-12-31,0.15909,0.074041,0.112997,3964127626.68,1.139002,52476870300.0,3441322995.0,3441322995.0
sh.600276,2019,4.0,2020-03-23,2019-12-31,0.239443,0.228715,0.87492,5326451772.09,1.204669,23246797137.71,4422814197.0,4403915003.0
sh.600276,2020,4.0,2021-04-20,2020-12-31,0.22895900000000002,0.22747399999999998,0.879259,6308893128.7,1.1869319999999999,27612687144.38,5331717041.0,5295737921.0
sh.600276,2021,4.0,2022-04-23,2021-12-31,0.138312,0.173092,0.85556,4484026883.93,0.708288,25780303197.97,6396011914.0,6379002274.0
sh.600276,2022,4.0,2023-04-22,2022-12-31,0.107277,0.17932,0.836118,3815070903.04,0.6123689999999999,21213025401.29,6379002274.0,6379002274.0
sh.600309,2019,4.0,2020-03-31,2019-12-31,0.266079,0.155668,0.279983,10593318819.77,3.22637,67289481964.89,3139746626.0,1423756420.0
sh.600309,2020,4.0,2021-03-16,2020-12-31,0.22034099999999998,0.14182899999999998,0.267823,10414918896.6,3.198165,72279555310.64,3139746626.0,1423756420.0
sh.600309,2021,4.0,2022-03-15,2021-12-31,0.42034399999999994,0.172048,0.262621,25039430673.89,7.850553,144900592461.86,3139746626.0,1423756420.0
sh.600309,2022,4.0,2023-03-21,2022-12-31,0.22338400000000005,0.102932,0.165694,17041906850.02,5.170362,164508009512.09,3139746626.0,3139746626.0
